1	-3 -3 -3 -3 -3 -3 -3
2	-3 -3 -3 -3 -3 -3 -2
3	-3 -3 -3 -3 -3 -3 -1
4	-3 -3 -3 -3 -3 -3 1
5	-3 -3 -3 -3 -3 -3 2
6	-3 -3 -3 -3 -3 -2 -3
7	-3 -3 -3 -3 -3 -2 -2
8	-3 -3 -3 -3 -3 -2 -1
9	-3 -3 -3 -3 -3 -2 1
10	-3 -3 -3 -3 -3 -2 3
11	-3 -3 -3 -3 -3 -1 -3
12	-3 -3 -3 -3 -3 -1 -2
13	-3 -3 -3 -3 -3 -1 -1
14	-3 -3 -3 -3 -3 -1 2
15	-3 -3 -3 -3 -3 -1 3
16	-3 -3 -3 -3 -3 1 -3
17	-3 -3 -3 -3 -3 1 -2
18	-3 -3 -3 -3 -3 1 1
19	-3 -3 -3 -3 -3 1 2
20	-3 -3 -3 -3 -3 1 3
21	-3 -3 -3 -3 -3 2 -3
22	-3 -3 -3 -3 -3 2 -1
23	-3 -3 -3 -3 -3 2 1
24	-3 -3 -3 -3 -3 2 2
25	-3 -3 -3 -3 -3 2 3
26	-3 -3 -3 -3 -2 -3 -3
27	-3 -3 -3 -3 -2 -3 -2
28	-3 -3 -3 -3 -2 -3 -1
29	-3 -3 -3 -3 -2 -3 1
30	-3 -3 -3 -3 -2 -3 2
31	-3 -3 -3 -3 -2 -2 -3
32	-3 -3 -3 -3 -2 -2 -2
33	-3 -3 -3 -3 -2 -2 -1
34	-3 -3 -3 -3 -2 -2 1
35	-3 -3 -3 -3 -2 -2 3
36	-3 -3 -3 -3 -2 -1 -3
37	-3 -3 -3 -3 -2 -1 -2
38	-3 -3 -3 -3 -2 -1 -1
39	-3 -3 -3 -3 -2 -1 2
40	-3 -3 -3 -3 -2 -1 3
41	-3 -3 -3 -3 -2 1 -3
42	-3 -3 -3 -3 -2 1 -2
43	-3 -3 -3 -3 -2 1 1
44	-3 -3 -3 -3 -2 1 2
45	-3 -3 -3 -3 -2 1 3
46	-3 -3 -3 -3 -2 3 -2
47	-3 -3 -3 -3 -2 3 -1
48	-3 -3 -3 -3 -2 3 1
49	-3 -3 -3 -3 -2 3 2
50	-3 -3 -3 -3 -2 3 3
51	-3 -3 -3 -3 -1 -3 -3
52	-3 -3 -3 -3 -1 -3 -2
53	-3 -3 -3 -3 -1 -3 -1
54	-3 -3 -3 -3 -1 -3 1
55	-3 -3 -3 -3 -1 -3 2
56	-3 -3 -3 -3 -1 -2 -3
57	-3 -3 -3 -3 -1 -2 -2
58	-3 -3 -3 -3 -1 -2 -1
59	-3 -3 -3 -3 -1 -2 1
60	-3 -3 -3 -3 -1 -2 3
61	-3 -3 -3 -3 -1 -1 -3
62	-3 -3 -3 -3 -1 -1 -2
63	-3 -3 -3 -3 -1 -1 -1
64	-3 -3 -3 -3 -1 -1 2
65	-3 -3 -3 -3 -1 -1 3
66	-3 -3 -3 -3 -1 2 -3
67	-3 -3 -3 -3 -1 2 -1
68	-3 -3 -3 -3 -1 2 1
69	-3 -3 -3 -3 -1 2 2
70	-3 -3 -3 -3 -1 2 3
71	-3 -3 -3 -3 -1 3 -2
72	-3 -3 -3 -3 -1 3 -1
73	-3 -3 -3 -3 -1 3 1
74	-3 -3 -3 -3 -1 3 2
75	-3 -3 -3 -3 -1 3 3
76	-3 -3 -3 -3 1 -3 -3
77	-3 -3 -3 -3 1 -3 -2
78	-3 -3 -3 -3 1 -3 -1
79	-3 -3 -3 -3 1 -3 1
80	-3 -3 -3 -3 1 -3 2
81	-3 -3 -3 -3 1 -2 -3
82	-3 -3 -3 -3 1 -2 -2
83	-3 -3 -3 -3 1 -2 -1
84	-3 -3 -3 -3 1 -2 1
85	-3 -3 -3 -3 1 -2 3
86	-3 -3 -3 -3 1 1 -3
87	-3 -3 -3 -3 1 1 -2
88	-3 -3 -3 -3 1 1 1
89	-3 -3 -3 -3 1 1 2
90	-3 -3 -3 -3 1 1 3
91	-3 -3 -3 -3 1 2 -3
92	-3 -3 -3 -3 1 2 -1
93	-3 -3 -3 -3 1 2 1
94	-3 -3 -3 -3 1 2 2
95	-3 -3 -3 -3 1 2 3
96	-3 -3 -3 -3 1 3 -2
97	-3 -3 -3 -3 1 3 -1
98	-3 -3 -3 -3 1 3 1
99	-3 -3 -3 -3 1 3 2
100	-3 -3 -3 -3 1 3 3
101	-3 -3 -3 -3 2 -3 -3
102	-3 -3 -3 -3 2 -3 -2
103	-3 -3 -3 -3 2 -3 -1
104	-3 -3 -3 -3 2 -3 1
105	-3 -3 -3 -3 2 -3 2
106	-3 -3 -3 -3 2 -1 -3
107	-3 -3 -3 -3 2 -1 -2
108	-3 -3 -3 -3 2 -1 -1
109	-3 -3 -3 -3 2 -1 2
110	-3 -3 -3 -3 2 -1 3
111	-3 -3 -3 -3 2 1 -3
112	-3 -3 -3 -3 2 1 -2
