12a_0601	6	{-1,-2,3,4,5,5,4,-5,4,3,-4,2,-1,2,3}
12a_0602	4	{-1,2,-1,-1,-1,2,3,3,3,2,-1,2,-3}
12a_0603	5	{-1,2,3,-4,-1,-2,3,-2,3,4,4,4,3,-2}
12a_0604	6	{-1,2,3,-4,5,-1,-3,5,2,4,-3,2,4,5,-3}
12a_0605	4	{-1,-1,2,-3,-1,2,2,3,-1,3,-1,2,-1}
12a_0606	5	{-1,2,2,-3,1,-3,1,2,-3,-4,3,-4,2,-3}
12a_0607	4	{1,-2,-3,-3,-2,-2,1,-2,-2,-2,3,-2,1}
12a_0608	5	{1,-2,3,3,-2,-1,-1,-2,-2,3,-4,-2,-3,2,-3,4}
12a_0609	5	{1,-2,-3,-3,4,-2,-1,-1,2,-3,-2,4,-2,4,-2,3}
12a_0610	6	{1,1,1,2,-1,3,-2,1,3,2,2,4,-3,4,5,-4,5}
12a_0611	5	{-1,-2,3,4,4,3,-2,3,-4,3,1,1,2,2,-3,2}
12a_0612	5	{-1,2,3,-4,-1,3,-2,3,3,4,4,4,3,-2}
12a_0613	5	{1,-2,-3,4,4,-3,2,-3,4,-3,-1,-3,-1,-2}
12a_0614	6	{-1,2,-3,4,-1,2,4,5,3,5,3,-4,3,-4,-5}
12a_0615	5	{-1,2,2,3,1,3,1,2,2,-3,4,2,4,3,3,-4}
12a_0616	4	{1,1,1,2,2,-3,2,-1,2,-3,2,2,-3}
12a_0617	4	{-1,2,2,3,-1,3,-1,2,2,-1,2,-3,-1}
12a_0618	4	{1,1,1,2,-3,2,2,-3,-1,2,-3,2,2}
12a_0619	6	{1,1,1,2,-1,2,-3,2,2,4,-3,-2,4,5,-4,-3,5}
12a_0620	4	{-1,2,-1,2,3,3,3,2,-1,2,-3,2,2}
12a_0621	5	{1,-2,3,-4,1,2,-3,-3,-3,2,2,-3,-3,-4}
12a_0622	6	{1,2,-3,4,-5,-2,-2,-3,-4,1,-2,3,-4,5,4,4,-3}
12a_0623	5	{-1,2,2,1,1,2,-3,2,-3,4,4,4,3,-2,3,-4}
12a_0624	5	{1,-2,-3,-4,-2,3,-4,-3,-2,3,1,1,-2,-2,3,-2}
12a_0625	6	{-1,2,-3,-4,5,-1,3,5,-2,-4,3,-2,-4,5,3}
12a_0626	4	{1,1,1,2,-3,2,-1,2,-3,-3,2,-3,2}
12a_0627	5	{-1,2,-3,4,-1,2,-3,2,4,2,-3,-3}
12a_0628	5	{-1,2,2,1,1,2,3,-4,3,-2,3,-4,3,-4}
12a_0629	5	{1,2,-3,4,-3,-2,-2,-3,4,1,1,-2,-3,4}
12a_0630	5	{-1,2,-3,4,-1,-2,4,3,3,-2,3,-2,3,4}
12a_0631	5	{-1,2,2,-3,4,-3,1,1,2,-3,2,-4,-4,-3}
12a_0632	5	{-1,2,2,1,1,2,-3,4,3,-2,-3,2,-3,-3,4,-3}
12a_0633	5	{-1,2,2,1,1,2,-3,4,-3,2,-3,-2,3,4,-3,4}
12a_0634	5	{1,-2,-3,-4,2,-3,-4,-3,-2,3,1,4,1,-2,-2,-2}
12a_0635	6	{1,-2,-3,-4,5,1,3,5,-2,-4,5,3,-2,-3,-3}
12a_0636	6	{-1,-1,-2,1,-2,-2,-3,2,2,-4,3,-2,5,-4,-3,5,5}
12a_0637	5	{1,-2,-3,4,1,4,-3,2,-3,4,-3,-2,-2,-3}
12a_0638	5	{-1,2,2,-3,2,2,3,1,3,1,-2,3,4,-3,-2,4}
12a_0639	4	{-1,2,3,-1,3,-1,-2,3,3,3,2,-1,2}
12a_0640	5	{1,-2,1,2,3,-4,3,-4,3,-4,2,-4,2,-3}
12a_0641	4	{1,-2,1,2,-3,-3,-3,-3,2,2,-3,-3,-3}
12a_0642	5	{1,-2,1,2,-3,-4,3,-4,-3,2,2,-3,-3,-3}
12a_0643	5	{1,-2,1,2,-3,-3,-3,-3,2,2,-3,-4,3,-4}
12a_0644	6	{1,-2,1,2,-3,-4,-5,4,-5,-4,3,-4,2,2,-3}
12a_0645	4	{-1,-1,2,3,-1,3,3,2,-1,2,-3,2,2}
12a_0646	4	{-1,-1,-1,2,2,3,-1,3,2,-1,2,2,-3}
12a_0647	4	{1,1,2,2,2,3,1,1,1,-2,1,3,3}
12a_0648	5	{1,-2,3,1,3,3,4,2,4,2,2,-3,2,4}
12a_0649	5	{1,-2,3,-4,1,-4,1,-2,-4,-4,3,-4}
12a_0650	6	{-1,-2,3,-4,5,1,-2,3,-2,5,-1,-4,5}
