12a_0064	6	{1,1,-2,-3,1,-3,4,2,4,5,2,3,5,-4,5}
12a_0065	5	{1,2,2,3,-4,1,-4,1,-2,-4,-3,-3,-4,-4}
12a_0066	5	{1,-2,-2,3,4,1,1,2,-3,2,-3,4,-3,-3}
12a_0067	5	{-1,2,-1,2,3,3,4,-2,-2,-3,-3,-3,4,-3}
12a_0068	6	{-1,2,-3,-1,2,-3,2,4,5,-3,-4,5,-4}
12a_0069	5	{-1,2,-1,2,3,-4,3,-4,3,-2,-2,-3,-3,-3}
12a_0070	5	{-1,2,-1,2,3,-4,-4,3,-4,-2,-2,-3,-3,-3}
12a_0071	5	{-1,2,-3,-1,2,2,2,-3,2,4,-3,4}
12a_0072	6	{-1,2,3,-4,-1,3,-4,2,5,2,3,-4,-2,-3,5}
12a_0073	6	{-1,2,-1,2,3,-4,5,3,2,2,-3,4,-3,-4,5}
12a_0074	5	{-1,2,3,-1,3,-4,-4,3,-2,-2,3,-4,-2,-3}
12a_0075	5	{-1,2,-1,2,3,3,3,4,4,3,2,2,-3,4,-3,-4}
12a_0076	6	{1,2,3,-4,-5,3,-4,-2,3,-4,5,4,4,3,2,1,-2}
12a_0077	5	{1,-2,-2,1,1,-2,3,-4,-2,3,-4,3}
12a_0078	4	{-1,-2,-2,1,-2,3,-2,-2,3,3,-2,-2,-1}
12a_0079	5	{1,-2,-2,1,1,-2,3,-2,3,-4,3,-2,3,4}
12a_0080	5	{1,2,2,1,1,-2,-3,4,2,-3,-3,-3,4,-3}
12a_0081	6	{1,2,-3,4,4,5,5,-4,-3,4,-2,5,1,-2,-3}
12a_0082	5	{-1,2,2,1,1,2,3,3,4,2,-3,2,4,4}
12a_0083	6	{1,-2,3,4,1,4,5,3,5,-2,-4,5,3}
12a_0084	5	{1,-2,-2,1,1,-2,3,-4,-2,-4,3,-4}
12a_0085	4	{-1,-2,-2,-2,-2,1,-2,3,-2,-2,-1,3,3}
12a_0086	5	{1,-2,-2,1,1,-2,3,-2,-3,-3,-4,3,-4,-3}
12a_0087	5	{1,-2,-2,1,1,-2,3,-4,-2,3,-2,-4}
12a_0088	5	{1,2,2,1,1,-2,-3,4,-3,2,-3,4,-3,4}
12a_0089	5	{1,-2,-2,-3,4,-3,1,4,1,-2,-3,-3,-2,-4,3,-2}
12a_0090	5	{1,-2,-2,-3,1,-3,4,1,2,-3,2,4,4,3}
12a_0091	5	{1,2,2,1,1,-2,-3,4,-3,4,2,-3,4,4}
12a_0092	5	{1,2,2,3,-4,1,-4,1,-2,-3,-3,-3,-3,-4}
12a_0093	4	{1,1,1,2,2,3,1,3,1,1,-2,3,1}
12a_0094	5	{1,2,2,3,1,3,1,3,-2,3,4,-3,4,3}
