12a_1201	4	{-1,2,-1,-1,-1,2,-3,2,-1,2,2,3,3}
12a_1202	7	{-1,2,-1,2,-3,-2,4,-3,-2,5,4,-3,4,-5,6,-5,4,6}
12a_1203	3	{1,-2,-2,-2,1,1,-2,1,1,-2,-2,-2}
12a_1204	4	{-1,2,-1,-2,3,-2,-2,-2,3,3,-2,3,3}
12a_1205	5	{-1,2,-1,-2,3,-2,3,-4,2,3,-4,-2,3,-2,3,3}
12a_1206	5	{-1,2,2,3,-4,3,2,-4,2,1,1,2,-3,4,2,-3}
12a_1207	4	{-1,2,3,3,2,-1,2,-3,2,2,2,-1,2}
12a_1208	5	{-1,-2,3,-2,3,-2,3,4,1,-3,1,4,3,2,-3,2}
12a_1209	3	{-1,-1,-1,2,-1,2,-1,2,-1,2,2,2}
12a_1210	3	{1,-2,1,-2,-2,-2,1,-2,1,-2,-2,-2}
12a_1211	3	{-1,2,-1,2,-1,2,-1,2,2,-1,-1,2}
12a_1212	3	{1,-2,1,-2,1,-2,1,-2,1,1,1,-2}
12a_1213	4	{1,-2,-3,1,2,-3,2,-3,2,-3,2,-3,2}
12a_1214	3	{1,1,1,1,1,-2,1,1,1,1,1,-2}
12a_1215	3	{1,1,1,-2,1,-2,-2,1,1,1,1,-2}
12a_1216	4	{-1,-1,-1,2,-1,2,-1,-3,2,-1,2,3,3}
12a_1217	5	{-1,2,-1,-2,3,-2,3,4,-2,4,3,-2,3,-4}
12a_1218	3	{-1,2,-1,2,2,2,2,-1,-1,-1,-1,2}
12a_1219	3	{1,1,1,-2,1,-2,-2,1,-2,-2,-2,-2}
12a_1220	3	{1,-2,1,-2,-2,-2,-2,1,-2,-2,-2,-2}
12a_1221	3	{1,1,1,-2,1,-2,1,1,-2,1,-2,-2}
12a_1222	3	{1,-2,1,-2,1,-2,1,1,-2,-2,-2,1}
12a_1223	3	{1,1,1,-2,1,1,1,-2,-2,1,1,-2}
12a_1224	4	{1,-2,-3,1,-3,2,2,-3,2,2,2,-3,2}
12a_1225	3	{-1,2,-1,2,2,-1,-1,2,2,-1,-1,2}
12a_1226	3	{1,1,1,-2,-2,-2,1,-2,-2,1,-2,-2}
12a_1227	3	{1,-2,1,-2,1,1,-2,-2,-2,1,-2,-2}
12a_1228	4	{-1,2,3,-1,3,-2,3,-2,3,-2,-2,3,-2}
12a_1229	3	{-1,2,-1,2,2,-1,-1,2,-1,2,2,-1}
12a_1230	3	{1,-2,1,-2,1,1,-2,-2,1,1,-2,1}
12a_1231	3	{1,-2,1,-2,1,-2,-2,-2,1,1,-2,1}
12a_1232	4	{-1,2,3,-1,3,-2,3,3,-2,3,-2,3,-2}
12a_1233	3	{1,1,1,-2,1,1,1,1,1,-2,-2,-2}
12a_1234	4	{1,-2,1,2,2,-3,-3,-3,2,2,2,-3,2}
12a_1235	3	{1,-2,1,-2,-2,1,1,1,1,-2,-2,-2}
12a_1236	4	{1,-2,1,2,2,-3,-3,-3,2,-3,2,-3,-3}
12a_1237	4	{1,-2,1,-2,1,3,1,-2,1,-2,-2,-3,-3}
12a_1238	3	{1,-2,1,-2,1,1,1,1,-2,-2,-2,1}
12a_1239	4	{-1,-1,2,2,-1,2,3,-1,3,2,-3,2,-1}
12a_1240	4	{-1,2,3,-1,3,3,3,-2,3,-2,3,3,-2}
12a_1241	5	{-1,2,-3,-4,3,-4,2,2,-3,2,-3,1,1,2}
12a_1242	4	{-1,2,3,-1,3,3,3,3,-2,3,3,3,-2}
12a_1243	5	{1,-2,1,2,2,-3,-4,3,-4,2,2,2,-3,2}
12a_1244	4	{-1,2,3,-1,3,3,3,-2,-2,3,-2,3,-2}
12a_1245	5	{1,-2,1,2,2,-3,-4,3,-4,2,-3,2,-3,-3}
12a_1246	3	{1,1,1,-2,1,1,-2,-2,-2,1,1,-2}
12a_1247	4	{-1,2,3,-1,3,-2,3,3,3,-2,3,3,-2}
12a_1248	3	{1,-2,1,-2,1,-2,-2,1,-2,1,-2,-2}
12a_1249	3	{-1,2,-1,2,-1,2,2,-1,2,-1,-1,2}
12a_1250	3	{1,1,-2,-2,1,-2,1,-2,-2,1,1,-2}
12a_1251	5	{-1,2,-3,2,-3,1,4,1,2,-3,2,-3,-4,-4}
12a_1252	4	{-1,2,2,-3,-1,-1,2,-1,2,2,3,3,2}
12a_1253	3	{1,-2,-2,1,1,-2,1,-2,-2,1,-2,-2}
12a_1254	3	{-1,2,-1,-1,-1,2,2,2,-1,2,2,-1}
12a_1255	3	{1,-2,1,1,1,-2,1,-2,1,1,-2,1}
12a_1256	4	{1,-2,-3,1,-3,-3,2,-3,-3,2,2,-3,2}
12a_1257	4	{1,-2,-3,1,2,2,-3,2,2,-3,2,-3,2}
12a_1258	3	{1,1,-2,-2,1,-2,1,1,1,-2,-2,-2}
12a_1259	4	{1,-2,-3,1,-3,-3,2,2,-3,-3,2,-3,2}
12a_1260	3	{-1,2,-1,-1,-1,2,2,-1,-1,2,2,2}
12a_1261	4	{-1,-1,-1,2,2,-3,2,-1,2,2,3,3,2}
12a_1262	4	{1,-2,-3,1,-3,2,2,-3,-3,-3,2,-3,2}
12a_1263	5	{1,-2,1,2,-3,2,-3,-4,-4,-3,2,-3,-3,4}
12a_1264	4	{-1,2,3,-1,3,3,-2,3,-2,-2,3,3,-2}
12a_1265	5	{1,-2,-3,-4,1,3,-4,2,2,-3,-3,2,-3,2}
12a_1266	5	{-1,2,3,-1,3,-4,3,-2,3,3,4,4,3,-2}
12a_1267	5	{-1,2,3,-1,3,-2,-2,3,4,-3,4,-2,3,-2}
12a_1268	4	{1,1,-2,-2,-3,1,-3,-2,1,-2,3,-2,1}
